cadence,mean_$M,std_$M,p05_$M,p95_$M
30d,95037.71692028482,0.9499978732270283,95036.17863543997,95038.96861951174
32d,94937.40440727936,0.9499978732228722,94935.86612243453,94938.65610650627
35d,94467.46561997465,0.9499978732280694,94465.92733512982,94468.71731920159
28d,94172.04798606191,0.9499978732295509,94170.50970121704,94173.29968528882
39d,92790.7867803078,0.9499978732264717,92789.24849546293,92792.03847953473
45d,90428.9311704289,0.949997873227995,90427.39288558403,90430.18286965581
25d,90114.28367180536,0.9499978732263917,90112.74538696051,90115.53537103228
60d,85379.29250827011,0.949997873226213,85377.75422342528,85380.54420749705
75d,82004.59070829413,0.9499978733445159,82003.05242344915,82005.84240752092
90d,79533.08393755088,0.9499978732270777,79531.54565270605,79534.33563677782
