cadence,mean_$M,std_$M,p05_$M,p95_$M
95d,148101.31503215118,1.2497628243964447,148099.28485906497,148102.9073029936
90d,144750.82108569643,1.2497628244001675,144748.79091261022,144752.41335653886
85d,141553.98751206053,1.249762824400183,141551.9573389743,141555.57978290296
75d,135573.50498909573,1.2497628243963743,135571.47481600955,135575.09725993822
74d,134889.1226939349,1.2497628243957706,134887.0925208487,134890.71496477738
63d,126278.48093096059,1.2497628243985373,126276.45075787438,126280.07320180307
60d,123567.43031198485,1.2497628243980627,123565.40013889864,123569.02258282733
45d,106465.58633113767,1.2497628243983068,106463.55615805148,106467.17860198017
30d,76118.89081749255,1.2497628243987775,76116.86064440635,76120.48308833502
25d,59081.16417242327,1.2497628243978922,59079.133999337064,59082.756443265745
