cadence,mean_$M,std_$M,p05_$M,p95_$M
95d,148100.9952327735,1.2597319687428827,148098.94881142039,148102.60050134195
90d,144750.50128631876,1.2597319687460093,144748.4548649656,144752.10655488717
85d,141553.66771268283,1.2597319687443531,141551.62129132968,141555.2729812513
75d,135573.18518971806,1.2597319687444086,135571.1387683649,135574.79045828656
74d,134888.80289455724,1.2597319687468156,134886.75647320406,134890.40816312568
63d,126278.1611315829,1.259731968745872,126276.11471022974,126279.76640015138
60d,123567.11051260718,1.259731968747473,123565.064091254,123568.71578117563
45d,106465.26653176,1.2597319687443878,106463.22011040684,106466.87180032849
30d,76118.57101811488,1.2597319687474051,76116.5245967617,76120.17628668335
25d,59080.8443730456,1.259731968746721,59078.797951692424,59082.44964161406
