cadence,mean_$M,std_$M,p05_$M,p95_$M
95d,148099.93699385144,1.2977068150759665,148097.82827025367,148101.58914537495
90d,144749.44304739672,1.2977068150703406,144747.33432379892,144751.09519892017
85d,141552.60947376076,1.297706815075952,141550.500750163,141554.26162528427
75d,135572.12695079602,1.2977068150727198,135570.01822719822,135573.77910231947
74d,134887.74465563515,1.2977068150748934,134885.63593203737,134889.39680715863
63d,126277.10289266087,1.2977068150752225,126274.99416906307,126278.75504418432
60d,123566.05227368513,1.297706815077108,123563.94355008731,123567.70442520856
45d,106464.20829283798,1.2977068150752133,106462.09956924016,106465.86044436143
30d,76117.51277919282,1.297706815072339,76115.40405559502,76119.16493071629
25d,59079.78613412356,1.297706815075288,59077.67741052575,59081.43828564701
